Date,Close
2022-08-01,4118.629883
2022-08-02,4091.189941
2022-08-03,4155.169922
2022-08-04,4151.939941
2022-08-05,4145.189941
2022-08-08,4140.060059
2022-08-09,4122.470215
2022-08-10,4210.240234
2022-08-11,4207.27002
2022-08-12,4280.149902
2022-08-15,4297.140137
2022-08-16,4305.200195
2022-08-17,4274.040039
2022-08-18,4283.740234
2022-08-19,4228.47998
2022-08-22,4137.990234
2022-08-23,4128.72998
2022-08-24,4140.77002
2022-08-25,4199.120117
2022-08-26,4057.659912
2022-08-29,4030.610107
2022-08-30,3986.159912
2022-08-31,3955.0
2022-09-01,3966.850098
2022-09-02,3924.26001
2022-09-06,3908.189941
2022-09-07,3979.870117
2022-09-08,4006.179932
2022-09-09,4067.360107
2022-09-12,4110.410156
2022-09-13,3932.689941
2022-09-14,3946.01001
2022-09-15,3901.350098
2022-09-16,3873.330078
2022-09-19,3899.889893
2022-09-20,3855.929932
2022-09-21,3789.929932
2022-09-22,3757.98999
2022-09-23,3693.22998
2022-09-26,3655.040039
2022-09-27,3647.290039
2022-09-28,3719.040039
2022-09-29,3640.469971
2022-09-30,3585.620117
2022-10-03,3678.429932
2022-10-04,3790.929932
2022-10-05,3783.280029
2022-10-06,3744.52002
2022-10-07,3639.659912
2022-10-10,3612.389893
2022-10-11,3588.840088
2022-10-12,3577.030029
2022-10-13,3669.909912
2022-10-14,3583.070068
2022-10-17,3677.949951
2022-10-18,3719.97998
2022-10-19,3695.159912
2022-10-20,3665.780029
2022-10-21,3752.75
2022-10-24,3797.340088
2022-10-25,3859.110107
2022-10-26,3830.600098
2022-10-27,3807.300049
2022-10-28,3901.060059
2022-10-31,3871.97998
2022-11-01,3856.100098
2022-11-02,3759.689941
2022-11-03,3719.889893
2022-11-04,3770.550049
2022-11-07,3806.800049
2022-11-08,3828.110107
2022-11-09,3748.570068
2022-11-10,3956.370117
2022-11-11,3992.929932
2022-11-14,3957.25
2022-11-15,3991.72998
2022-11-16,3958.790039
2022-11-17,3946.560059
2022-11-18,3965.340088
2022-11-21,3949.939941
2022-11-22,4003.580078
2022-11-23,4027.26001
2022-11-25,4026.120117
2022-11-28,3963.939941
2022-11-29,3957.629883
2022-11-30,4080.110107
2022-12-01,4076.570068
2022-12-02,4071.699951
2022-12-05,3998.840088
2022-12-06,3941.26001
2022-12-07,3933.919922
2022-12-08,3963.51001
2022-12-09,3934.379883
2022-12-12,3990.560059
2022-12-13,4019.649902
2022-12-14,3995.320068
2022-12-15,3895.75
2022-12-16,3852.360107
2022-12-19,3817.659912
2022-12-20,3821.620117
2022-12-21,3878.439941
2022-12-22,3822.389893
2022-12-23,3844.820068
2022-12-27,3829.25
2022-12-28,3783.219971
2022-12-29,3849.280029
2022-12-30,3839.5
2023-01-03,3824.139893
2023-01-04,3852.969971
2023-01-05,3808.100098
2023-01-06,3895.080078
2023-01-09,3892.090088
2023-01-10,3919.25
2023-01-11,3969.610107
2023-01-12,3983.169922
2023-01-13,3999.090088
2023-01-17,3990.969971
2023-01-18,3928.860107
2023-01-19,3898.850098
2023-01-20,3972.610107
2023-01-23,4019.810059
2023-01-24,4016.949951
2023-01-25,4016.219971
2023-01-26,4060.429932
2023-01-27,4070.560059
2023-01-30,4017.77002
2023-01-31,4076.600098
2023-02-01,4119.209961
2023-02-02,4179.759766
2023-02-03,4136.47998
2023-02-06,4111.080078
2023-02-07,4164.0
2023-02-08,4117.859863
2023-02-09,4081.5
2023-02-10,4090.459961
2023-02-13,4137.290039
2023-02-14,4136.129883
2023-02-15,4147.600098
2023-02-16,4090.409912
2023-02-17,4079.090088
2023-02-21,3997.340088
2023-02-22,3991.050049
2023-02-23,4012.320068
2023-02-24,3970.040039
2023-02-27,3982.23999
2023-02-28,3970.149902
2023-03-01,3951.389893
2023-03-02,3981.350098
2023-03-03,4045.639893
2023-03-06,4048.419922
2023-03-07,3986.370117
2023-03-08,3992.01001
2023-03-09,3918.320068
2023-03-10,3861.590088
2023-03-13,3855.76001
2023-03-14,3919.290039
2023-03-15,3891.929932
2023-03-16,3960.280029
2023-03-17,3916.639893
2023-03-20,3951.570068
2023-03-21,4002.870117
2023-03-22,3936.969971
2023-03-23,3948.719971
2023-03-24,3970.98999
2023-03-27,3977.530029
2023-03-28,3971.27002
2023-03-29,4027.810059
2023-03-30,4050.830078
2023-03-31,4109.310059
2023-04-03,4124.509766
2023-04-04,4100.600098
2023-04-05,4090.379883
2023-04-06,4105.02002
2023-04-10,4109.109863
2023-04-11,4108.939941
2023-04-12,4091.949951
2023-04-13,4146.220215
2023-04-14,4137.640137
2023-04-17,4151.319824
2023-04-18,4154.870117
2023-04-19,4154.52002
2023-04-20,4129.790039
2023-04-21,4133.52002
2023-04-24,4137.040039
2023-04-25,4071.629883
2023-04-26,4055.98999
2023-04-27,4135.350098
2023-04-28,4169.47998
2023-05-01,4167.870117
2023-05-02,4119.580078
2023-05-03,4090.75
2023-05-04,4061.219971
2023-05-05,4136.25
2023-05-08,4138.120117
2023-05-09,4119.169922
2023-05-10,4137.640137
2023-05-11,4130.620117
2023-05-12,4124.080078
2023-05-15,4136.279785
2023-05-16,4109.899902
2023-05-17,4158.77002
2023-05-18,4198.049805
2023-05-19,4191.97998
2023-05-22,4192.629883
2023-05-23,4145.580078
2023-05-24,4115.240234
2023-05-25,4151.279785
2023-05-26,4205.450195
2023-05-30,4205.52002
2023-05-31,4179.830078
2023-06-01,4221.02002
2023-06-02,4282.370117
2023-06-05,4273.790039
2023-06-06,4283.850098
2023-06-07,4267.52002
2023-06-08,4293.930176
2023-06-09,4298.859863
2023-06-12,4338.930176
2023-06-13,4369.009766
2023-06-14,4372.589844
2023-06-15,4425.839844
2023-06-16,4409.589844
2023-06-20,4388.709961
2023-06-21,4365.689941
2023-06-22,4381.890137
2023-06-23,4348.330078
2023-06-26,4328.819824
2023-06-27,4378.410156
2023-06-28,4376.859863
2023-06-29,4396.439941
2023-06-30,4450.379883
2023-07-03,4455.589844
2023-07-05,4446.819824
2023-07-06,4411.589844
2023-07-07,4398.950195
2023-07-10,4409.529785
2023-07-11,4439.259766
2023-07-12,4472.160156
2023-07-13,4510.040039
2023-07-14,4505.419922
2023-07-17,4522.790039
2023-07-18,4554.97998
2023-07-19,4565.720215
2023-07-20,4534.870117
2023-07-21,4536.339844
2023-07-24,4554.640137
2023-07-25,4567.459961
2023-07-26,4566.75
2023-07-27,4537.410156
2023-07-28,4582.22998
